You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : CRAB, BLUE,,,,
Year,State,Species,Metric Tons,Pounds,$
1964,Maryland,"CRAB, BLUE",10224.20,22540200.00,1609071.00
1964,Maryland,"CRAB, BLUE, SOFT AND PEELER",1586.60,3497900.00,1262739.00
1964,Mississippi,"CRAB, BLUE",583.30,1286000.00,81610.00
1964,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.80,1700.00,252.00
1964,New Jersey,"CRAB, BLUE",258.30,569500.00,81487.00
1964,New Jersey,"CRAB, BLUE, SOFT AND PEELER",4.40,9600.00,1919.00
1964,North Carolina,"CRAB, BLUE",10927.80,24091500.00,1275164.00
1964,North Carolina,"CRAB, BLUE, SOFT AND PEELER",31.60,69700.00,32924.00
1964,South Carolina,"CRAB, BLUE",4280.20,9436100.00,375761.00
1964,Texas,"CRAB, BLUE",1126.90,2484300.00,175477.00
1964,Texas,"CRAB, BLUE, SOFT AND PEELER",0.20,500.00,75.00
1964,Virginia,"CRAB, BLUE",23392.90,51572000.00,3385029.00
1964,Virginia,"CRAB, BLUE, PEELER",1.80,4000.00,2000.00
1964,Virginia,"CRAB, BLUE, SOFT AND PEELER",450.70,993700.00,450163.00
1965,Alabama,"CRAB, BLUE",822.00,1812200.00,153409.00
1965,Connecticut,"CRAB, BLUE",0.00,100.00,22.00
1965,Delaware,"CRAB, BLUE",247.50,545600.00,42436.00
1965,Delaware,"CRAB, BLUE, SOFT AND PEELER",5.40,12000.00,4820.00
1965,Florida East Coast,"CRAB, BLUE",2704.90,5963200.00,410325.00
1965,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.50,1000.00,368.00
1965,Florida West Coast,"CRAB, BLUE",9343.00,20597500.00,1184471.00
1965,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",5.30,11700.00,8863.00
1965,Georgia,"CRAB, BLUE",4653.50,10259000.00,426047.00
1965,Louisiana,"CRAB, BLUE",4211.20,9284000.00,635320.00
1965,Louisiana,"CRAB, BLUE, SOFT AND PEELER",92.40,203800.00,140686.00
1965,Maryland,"CRAB, BLUE",14514.20,31998000.00,2515334.00
1965,Maryland,"CRAB, BLUE, SOFT AND PEELER",1222.00,2694100.00,918713.00
1965,Mississippi,"CRAB, BLUE",767.50,1692100.00,130600.00
1965,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.60,1400.00,210.00
1965,New Jersey,"CRAB, BLUE",410.60,905300.00,96283.00
1965,New Jersey,"CRAB, BLUE, SOFT AND PEELER",15.00,33100.00,8607.00
1965,North Carolina,"CRAB, BLUE",10130.50,22333700.00,1262651.00
1965,North Carolina,"CRAB, BLUE, SOFT AND PEELER",107.50,237000.00,85133.00
1965,South Carolina,"CRAB, BLUE",3365.70,7420000.00,369208.00
1965,Texas,"CRAB, BLUE",1643.00,3622200.00,286036.00
1965,Virginia,"CRAB, BLUE",22935.00,50562600.00,3723253.00
1965,Virginia,"CRAB, BLUE, SOFT AND PEELER",489.60,1079400.00,445202.00
1966,Alabama,"CRAB, BLUE",990.00,2182600.00,182223.00
1966,Delaware,"CRAB, BLUE",259.00,571000.00,49417.00
1966,Delaware,"CRAB, BLUE, SOFT AND PEELER",0.10,300.00,130.00
1966,Florida East Coast,"CRAB, BLUE",3321.70,7323000.00,528722.00
1966,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,87.00
1966,Florida West Coast,"CRAB, BLUE",7505.80,16547200.00,911751.00
1966,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.40,800.00,203.00
1966,Georgia,"CRAB, BLUE",3880.80,8555700.00,324767.00
1966,Louisiana,"CRAB, BLUE",3622.20,7985600.00,537422.00
1966,Louisiana,"CRAB, BLUE, SOFT AND PEELER",57.90,127700.00,84844.00
1966,Maryland,"CRAB, BLUE",13777.00,30372800.00,2213968.00
1966,Maryland,"CRAB, BLUE, SOFT AND PEELER",854.60,1884100.00,725357.00
1966,Mississippi,"CRAB, BLUE",661.20,1457600.00,104598.00
1966,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.30,600.00,90.00
1966,New Jersey,"CRAB, BLUE",310.30,684000.00,91755.00
1966,New Jersey,"CRAB, BLUE, SOFT AND PEELER",1.70,3800.00,818.00
1966,North Carolina,"CRAB, BLUE",8579.40,18914100.00,867932.00
1966,North Carolina,"CRAB, BLUE, SOFT AND PEELER",57.00,125600.00,56342.00
1966,South Carolina,"CRAB, BLUE",2596.60,5724500.00,283860.00
1966,Texas,"CRAB, BLUE",1260.00,2777700.00,227663.00
1966,Virginia,"CRAB, BLUE",28908.30,63731200.00,3638309.00
1966,Virginia,"CRAB, BLUE, SOFT AND PEELER",466.30,1028000.00,377999.00
1967,Alabama,"CRAB, BLUE",1067.50,2353400.00,188316.00
1967,Delaware,"CRAB, BLUE",130.60,287900.00,34344.00
1967,Florida East Coast,"CRAB, BLUE",4227.50,9320000.00,634215.00
1967,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.30,600.00,310.00
1967,Florida West Coast,"CRAB, BLUE",6339.40,13975800.00,816593.00
1967,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",3.10,6800.00,4409.00
1967,Georgia,"CRAB, BLUE",3854.00,8496500.00,379963.00
1967,Louisiana,"CRAB, BLUE",3428.60,7558700.00,519729.00
1967,Louisiana,"CRAB, BLUE, SOFT AND PEELER",66.40,146300.00,121331.00
1967,Maryland,"CRAB, BLUE",11153.00,24587900.00,1721179.00
1967,Maryland,"CRAB, BLUE, PEELER",991.70,2186300.00,830948.00
1967,Mississippi,"CRAB, BLUE",460.40,1015100.00,78956.00
1967,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.50,1200.00,180.00
1967,New Jersey,"CRAB, BLUE",210.70,464400.00,60164.00
1967,New Jersey,"CRAB, BLUE, SOFT AND PEELER",2.20,4900.00,1177.00
1967,North Carolina,"CRAB, BLUE",6473.90,14272300.00,703754.00
1967,North Carolina,"CRAB, BLUE, SOFT AND PEELER",39.10,86100.00,36972.00
1967,South Carolina,"CRAB, BLUE",2380.10,5247200.00,290256.00
1967,Texas,"CRAB, BLUE",1190.60,2624800.00,222702.00
1967,Virginia,"CRAB, BLUE",24867.70,54823300.00,2954156.00
1967,Virginia,"CRAB, BLUE, SOFT AND PEELER",552.10,1217200.00,452346.00
1968,Alabama,"CRAB, BLUE",897.90,1979600.00,158772.00
1968,Delaware,"CRAB, BLUE",101.30,223400.00,39745.00
1968,Florida East Coast,"CRAB, BLUE",3000.70,6615300.00,567281.00
1968,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,300.00,130.00
1968,Florida West Coast,"CRAB, BLUE",4086.00,9008100.00,673857.00
1968,Georgia,"CRAB, BLUE",1664.20,3668900.00,298153.00
1968,Louisiana,"CRAB, BLUE",4332.20,9550800.00,807294.00
1968,Louisiana,"CRAB, BLUE, SOFT AND PEELER",128.80,284000.00,206398.00
1968,Maryland,"CRAB, BLUE",4238.90,9345000.00,1082353.00
1968,Maryland,"CRAB, BLUE, SOFT AND PEELER",454.30,1001600.00,462552.00
1968,Mississippi,"CRAB, BLUE",515.50,1136400.00,108303.00
1968,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.60,1300.00,227.00
1968,New Jersey,"CRAB, BLUE",61.30,135100.00,22204.00
1968,New Jersey,"CRAB, BLUE, SOFT AND PEELER",0.30,700.00,181.00
1968,North Carolina,"CRAB, BLUE",8696.00,19171200.00,1833539.00
1968,North Carolina,"CRAB, BLUE, SOFT AND PEELER",37.90,83500.00,31354.00
1968,South Carolina,"CRAB, BLUE",1751.90,3862200.00,295431.00
1968,Texas,"CRAB, BLUE",1852.30,4083600.00,329253.00
1968,Virginia,"CRAB, BLUE",20339.70,44840900.00,4928135.00
1968,Virginia,"CRAB, BLUE, SOFT AND PEELER",365.50,805700.00,313004.00
1969,Alabama,"CRAB, BLUE",870.90,1920000.00,223599.00
1969,Delaware,"CRAB, BLUE",231.20,509700.00,62072.00
1969,Delaware,"CRAB, BLUE, SOFT AND PEELER",1.20,2600.00,1651.00
1969,Florida East Coast,"CRAB, BLUE",2596.40,5724100.00,557086.00
1969,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.00,100.00,49.00
1969,Florida West Coast,"CRAB, BLUE",5254.40,11583800.00,1074116.00
1969,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.20,400.00,136.00
1969,Georgia,"CRAB, BLUE",2334.60,5146800.00,437587.00
1969,Louisiana,"CRAB, BLUE",5262.60,11601900.00,1072031.00
1969,Louisiana,"CRAB, BLUE, SOFT AND PEELER",89.20,196600.00,161236.00
1969,Maryland,"CRAB, BLUE",10439.00,23013900.00,2197036.00
1969,Maryland,"CRAB, BLUE, SOFT AND PEELER",1020.90,2250700.00,932583.00
1969,Mississippi,"CRAB, BLUE",789.40,1740300.00,177036.00
1969,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,35.00
1969,New Jersey,"CRAB, BLUE",282.20,622100.00,83190.00
1969,New Jersey,"CRAB, BLUE, SOFT AND PEELER",4.30,9500.00,1740.00
1969,North Carolina,"CRAB, BLUE",10051.40,22159300.00,2125500.00
1969,North Carolina,"CRAB, BLUE, SOFT AND PEELER",42.40,93400.00,42224.00
1969,South Carolina,"CRAB, BLUE",3742.10,8249900.00,674696.00
1969,Texas,"CRAB, BLUE",2877.00,6342700.00,599697.00
1969,Virginia,"CRAB, BLUE",15259.00,33639900.00,3176719.00
1969,Virginia,"CRAB, BLUE, SOFT AND PEELER",893.90,1970800.00,706383.00
1970,Alabama,"CRAB, BLUE",638.30,1407300.00,144088.00
1970,Connecticut,"CRAB, BLUE",0.10,300.00,70.00
1970,Delaware,"CRAB, BLUE",275.90,608200.00,106803.00
1970,Delaware,"CRAB, BLUE, SOFT AND PEELER",0.80,1800.00,1102.00
1970,Florida East Coast,"CRAB, BLUE",3528.30,7778500.00,651390.00
1970,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,75.00
1970,Florida West Coast,"CRAB, BLUE",6707.00,14786300.00,1072907.00
1970,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,300.00,173.00
1970,Georgia,"CRAB, BLUE",3217.00,7092200.00,428231.00
1970,Louisiana,"CRAB, BLUE",4651.30,10254200.00,928046.00
1970,Louisiana,"CRAB, BLUE, SOFT AND PEELER",40.60,89600.00,79492.00
1970,Maryland,"CRAB, BLUE",11310.60,24935400.00,2086570.00
1970,Maryland,"CRAB, BLUE, SOFT AND PEELER",716.60,1579800.00,669969.00
1970,Mississippi,"CRAB, BLUE",919.60,2027400.00,193098.00
1970,New Jersey,"CRAB, BLUE",340.80,751300.00,112692.00
1970,New Jersey,"CRAB, BLUE, SOFT AND PEELER",14.90,32900.00,7895.00
1970,North Carolina,"CRAB, BLUE",9471.20,20880200.00,1237567.00
1970,North Carolina,"CRAB, BLUE, SOFT AND PEELER",27.10,59800.00,23246.00
1970,South Carolina,"CRAB, BLUE",3152.30,6949500.00,455400.00
1970,Texas,"CRAB, BLUE",2506.30,5525400.00,508770.00
1970,Virginia,"CRAB, BLUE",19239.90,42416300.00,2387984.00
1970,Virginia,"CRAB, BLUE, SOFT AND PEELER",412.60,909700.00,337980.00
1971,Alabama,"CRAB, BLUE",906.00,1997300.00,211797.00
1971,Connecticut,"CRAB, BLUE",0.20,400.00,106.00
1971,Delaware,"CRAB, BLUE",459.90,1013800.00,202890.00
1971,Delaware,"CRAB, BLUE, SOFT AND PEELER",4.20,9200.00,5292.00
1971,Florida East Coast,"CRAB, BLUE",4142.30,9132200.00,837588.00
1971,Florida West Coast,"CRAB, BLUE",5569.60,12278700.00,952006.00
1971,Georgia,"CRAB, BLUE",3826.30,8435500.00,680107.00
1971,Louisiana,"CRAB, BLUE",5527.40,12185800.00,1255873.00
1971,Louisiana,"CRAB, BLUE, SOFT AND PEELER",57.50,126800.00,125741.00
1971,Maryland,"CRAB, BLUE",11827.50,26075000.00,2470114.00
1971,Maryland,"CRAB, BLUE, SOFT AND PEELER",694.00,1530100.00,731349.00
1971,Mississippi,"CRAB, BLUE",571.20,1259200.00,125923.00
1971,New Jersey,"CRAB, BLUE",500.10,1102600.00,172111.00
1971,New Jersey,"CRAB, BLUE, SOFT AND PEELER",6.00,13300.00,4010.00
1971,North Carolina,"CRAB, BLUE",6566.00,14475500.00,1127829.00
1971,North Carolina,"CRAB, BLUE, SOFT AND PEELER",22.20,48900.00,25414.00
1971,South Carolina,"CRAB, BLUE",3405.60,7508000.00,616308.00
1971,Texas,"CRAB, BLUE",2635.20,5809600.00,567172.00
1971,Virginia,"CRAB, BLUE",21685.40,47807600.00,3700983.00
1971,Virginia,"CRAB, BLUE, SOFT AND PEELER",314.20,692700.00,321293.00
1972,Alabama,"CRAB, BLUE",731.50,1612600.00,195211.00
1972,Delaware,"CRAB, BLUE",1157.60,2552000.00,671700.00
1972,Delaware,"CRAB, BLUE, SOFT AND PEELER",4.80,10500.00,7560.00
1972,Florida East Coast,"CRAB, BLUE",2852.00,6287500.00,682892.00
1972,Florida West Coast,"CRAB, BLUE",4841.30,10673200.00,958735.00
1972,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.00,100.00,109.00
1972,Georgia,"CRAB, BLUE",4109.00,9058600.00,825202.00
1972,Louisiana,"CRAB, BLUE",6841.50,15082700.00,1776862.00
1972,Louisiana,"CRAB, BLUE, SOFT AND PEELER",46.30,102100.00,109119.00
1972,Maryland,"CRAB, BLUE",10651.20,23481700.00,2362412.00
1972,Maryland,"CRAB, BLUE, SOFT AND PEELER",714.30,1574800.00,751797.00
1972,Mississippi,"CRAB, BLUE",618.00,1362400.00,168606.00
1972,New Jersey,"CRAB, BLUE",651.80,1436900.00,326556.00
1972,New Jersey,"CRAB, BLUE, SOFT AND PEELER",6.80,15000.00,4484.00
1972,North Carolina,"CRAB, BLUE",6114.20,13479400.00,1345159.00
1972,North Carolina,"CRAB, BLUE, SOFT AND PEELER",22.70,50000.00,29186.00
1972,South Carolina,"CRAB, BLUE",3366.60,7422100.00,777724.00
1972,Texas,"CRAB, BLUE",2932.20,6464400.00,652639.00
1972,Virginia,"CRAB, BLUE",22023.90,48554000.00,3925738.00
1972,Virginia,"CRAB, BLUE, SOFT AND PEELER",389.10,857800.00,409189.00
1973,Alabama,"CRAB, BLUE",951.90,2098500.00,294306.00
1973,Delaware,"CRAB, BLUE",1076.60,2373400.00,653550.00
1973,Delaware,"CRAB, BLUE, SOFT AND PEELER",8.00,17700.00,12690.00
1973,Florida East Coast,"CRAB, BLUE",1775.20,3913700.00,532004.00
1973,Florida West Coast,"CRAB, BLUE",4353.90,9598500.00,1146939.00
1973,Georgia,"CRAB, BLUE",3621.60,7984200.00,968650.00
1973,Louisiana,"CRAB, BLUE",10469.00,23080000.00,2811169.00
1973,Louisiana,"CRAB, BLUE, SOFT AND PEELER",54.30,119600.00,131552.00
1973,Maryland,"CRAB, BLUE",8862.70,19538600.00,2785555.00
1973,Maryland,"CRAB, BLUE, SOFT AND PEELER",686.50,1513500.00,763635.00
1973,Mississippi,"CRAB, BLUE",823.10,1814500.00,230662.00
1973,New Jersey,"CRAB, BLUE",1166.70,2572100.00,663088.00
1973,New Jersey,"CRAB, BLUE, SOFT AND PEELER",10.40,22900.00,15528.00
1973,North Carolina,"CRAB, BLUE",5426.40,11963100.00,1536873.00
1973,North Carolina,"CRAB, BLUE, SOFT AND PEELER",20.50,45100.00,27762.00
1973,South Carolina,"CRAB, BLUE",3606.90,7951800.00,1143622.00
1973,Texas,"CRAB, BLUE",3121.20,6881100.00,830440.00
1973,Virginia,"CRAB, BLUE",16667.90,36746100.00,4063301.00
1973,Virginia,"CRAB, BLUE, SOFT AND PEELER",445.90,983000.00,496615.00
1974,Alabama,"CRAB, BLUE",828.10,1825600.00,283498.00
1974,Delaware,"CRAB, BLUE",1019.60,2247700.00,401541.00
1974,Delaware,"CRAB, BLUE, SOFT AND PEELER",32.90,72600.00,52245.00
1974,Florida East Coast,"CRAB, BLUE",3389.10,7471700.00,969423.00
1974,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.00,100.00,16.00
1974,Florida West Coast,"CRAB, BLUE",4596.60,10133700.00,1280450.00
1974,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.00,100.00,153.00
1974,Georgia,"CRAB, BLUE",4595.40,10131000.00,1225878.00
1974,Louisiana,"CRAB, BLUE",9362.20,20639900.00,2701460.00
1974,Louisiana,"CRAB, BLUE, SOFT AND PEELER",43.40,95600.00,126934.00
1974,Maryland,"CRAB, BLUE",11185.80,24660300.00,4054299.00
1974,Maryland,"CRAB, BLUE, SOFT AND PEELER",826.30,1821600.00,1030390.00
1974,Mississippi,"CRAB, BLUE",756.10,1667000.00,226516.00
1974,New Jersey,"CRAB, BLUE",1245.10,2745000.00,671205.00
1974,New Jersey,"CRAB, BLUE, SOFT AND PEELER",57.00,125600.00,52918.00
1974,New York,"CRAB, BLUE",1.50,3200.00,645.00
1974,North Carolina,"CRAB, BLUE",5971.00,13163600.00,1373499.00
1974,North Carolina,"CRAB, BLUE, SOFT AND PEELER",15.10,33300.00,23109.00
1974,South Carolina,"CRAB, BLUE",3423.50,7547500.00,983952.00
1974,Texas,"CRAB, BLUE",2761.30,6087600.00,832367.00
1974,Virginia,"CRAB, BLUE",18529.20,40849500.00,4253564.00
1974,Virginia,"CRAB, BLUE, SOFT AND PEELER",369.10,813800.00,402780.00
1975,Alabama,"CRAB, BLUE",743.70,1639600.00,283151.00
1975,Delaware,"CRAB, BLUE",1610.60,3550800.00,782988.00
1975,Delaware,"CRAB, BLUE, SOFT AND PEELER",15.30,33800.00,24367.00
1975,Florida East Coast,"CRAB, BLUE",1898.50,4185400.00,636617.00
1975,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.20,400.00,326.00
1975,Florida West Coast,"CRAB, BLUE",5809.00,12806500.00,1584895.00
1975,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.70,1600.00,1342.00
1975,Georgia,"CRAB, BLUE",4021.20,8865200.00,1154720.00
1975,Louisiana,"CRAB, BLUE",7776.40,17143800.00,2510033.00
1975,Louisiana,"CRAB, BLUE, SOFT AND PEELER",50.10,110500.00,155087.00
1975,Maryland,"CRAB, BLUE",11006.10,24264000.00,4275798.00
1975,Maryland,"CRAB, BLUE, SOFT AND PEELER",750.20,1653900.00,868516.00
1975,Mississippi,"CRAB, BLUE",515.60,1136600.00,176820.00
1975,New Jersey,"CRAB, BLUE",1301.80,2870000.00,636847.00
1975,New Jersey,"CRAB, BLUE, SOFT AND PEELER",17.60,38800.00,16045.00
1975,New York,"CRAB, BLUE",7.30,16000.00,4000.00
1975,North Carolina,"CRAB, BLUE",5022.30,11072100.00,1454456.00
1975,North Carolina,"CRAB, BLUE, SOFT AND PEELER",9.10,20100.00,16996.00
1975,South Carolina,"CRAB, BLUE",2894.10,6380300.00,842776.00
1975,Texas,"CRAB, BLUE",2717.70,5991500.00,947694.00
1975,Virginia,"CRAB, BLUE",15793.80,34819000.00,5017551.00
1975,Virginia,"CRAB, BLUE, SOFT AND PEELER",342.10,754300.00,383839.00
1976,Alabama,"CRAB, BLUE",589.10,1298800.00,281102.00
1976,Delaware,"CRAB, BLUE",1617.10,3565100.00,1075093.00
1976,Delaware,"CRAB, BLUE, SOFT AND PEELER",38.60,85200.00,79920.00
1976,Florida East Coast,"CRAB, BLUE",1825.30,4024000.00,730049.00
1976,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,193.00
1976,Florida West Coast,"CRAB, BLUE",5465.20,12048500.00,1965572.00
1976,Georgia,"CRAB, BLUE",2663.80,5872600.00,1087289.00
1976,Louisiana,"CRAB, BLUE",6899.70,15211000.00,3060566.00
1976,Louisiana,"CRAB, BLUE, SOFT AND PEELER",40.00,88200.00,144945.00
1976,Maryland,"CRAB, BLUE",8813.20,19429500.00,4586172.00
1976,Maryland,"CRAB, BLUE, SOFT AND PEELER",668.50,1473700.00,1075262.00
1976,Mississippi,"CRAB, BLUE",605.30,1334500.00,267535.00
1976,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.10,300.00,240.00
1976,New Jersey,"CRAB, BLUE",1222.90,2696000.00,830806.00
1976,New Jersey,"CRAB, BLUE, SOFT AND PEELER",40.80,90000.00,40030.00
1976,New York,"CRAB, BLUE",23.70,52300.00,19845.00
1976,North Carolina,"CRAB, BLUE",5321.40,11731600.00,2405635.00
1976,North Carolina,"CRAB, BLUE, SOFT AND PEELER",9.10,20000.00,26549.00
1976,South Carolina,"CRAB, BLUE",2603.70,5740100.00,975847.00
1976,Texas,"CRAB, BLUE",3024.80,6668400.00,1179343.00
1976,Virginia,"CRAB, BLUE",11685.20,25761100.00,5096668.00
1976,Virginia,"CRAB, BLUE, SOFT AND PEELER",345.10,760900.00,550714.00
1977,Alabama,"CRAB, BLUE",986.20,2174200.00,547719.00
1977,Delaware,"CRAB, BLUE",391.10,862200.00,301700.00
1977,Delaware,"CRAB, BLUE, SOFT AND PEELER",8.30,18200.00,21840.00
1977,Florida East Coast,"CRAB, BLUE",1553.30,3424400.00,779214.00
1977,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,206.00
1977,Florida West Coast,"CRAB, BLUE",7181.40,15832200.00,3118946.00
1977,Georgia,"CRAB, BLUE",3502.40,7721500.00,1632092.00
1977,Louisiana,"CRAB, BLUE",7327.50,16154300.00,3765172.00
1977,Louisiana,"CRAB, BLUE, SOFT AND PEELER",101.90,224700.00,569539.00
1977,Maryland,"CRAB, BLUE",9144.20,20159300.00,4905539.00
1977,Maryland,"CRAB, BLUE, SOFT AND PEELER",527.80,1163600.00,1397702.00
1977,Mississippi,"CRAB, BLUE",870.30,1918600.00,473167.00
1977,New Jersey,"CRAB, BLUE",177.20,390600.00,147386.00
1977,New Jersey,"CRAB, BLUE, SOFT AND PEELER",2.20,4800.00,2512.00
1977,New York,"CRAB, BLUE",5.80,12800.00,5760.00
1977,North Carolina,"CRAB, BLUE",5543.30,12220700.00,2148346.00
1977,North Carolina,"CRAB, BLUE, SOFT AND PEELER",7.30,16000.00,17000.00
1977,South Carolina,"CRAB, BLUE",3326.40,7333300.00,1564796.00
1977,Texas,"CRAB, BLUE",3741.50,8248600.00,1946740.00
1977,Virginia,"CRAB, BLUE",16863.70,37177700.00,6722976.00
1977,Virginia,"CRAB, BLUE, SOFT AND PEELER",315.40,695300.00,587153.00
1978,Alabama,"CRAB, BLUE",911.20,2008926.00,458148.00
1978,Delaware,"CRAB, BLUE",141.80,312700.00,145042.00
1978,Delaware,"CRAB, BLUE, SOFT AND PEELER",8.60,19000.00,30388.00
1978,Florida East Coast,"CRAB, BLUE",1728.00,3809500.00,785283.00
1978,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.60,1423.00,1215.00
1978,Florida West Coast,"CRAB, BLUE",5297.40,11678677.00,2235486.00
1978,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",10.10,22236.00,27153.00
1978,Georgia,"CRAB, BLUE",4821.00,10628294.00,1877446.00
1978,Louisiana,"CRAB, BLUE",6837.60,15074188.00,3189445.00
1978,Louisiana,"CRAB, BLUE, SOFT AND PEELER",60.40,133061.00,275739.00
1978,Maryland,"CRAB, BLUE",7525.20,16590100.00,4044894.00
1978,Maryland,"CRAB, BLUE, SOFT AND PEELER",394.10,868900.00,1194503.00
1978,Mississippi,"CRAB, BLUE",880.00,1940100.00,421931.00
1978,Mississippi,"CRAB, BLUE, SOFT AND PEELER",1.00,2200.00,550.00
1978,New Jersey,"CRAB, BLUE",407.20,897800.00,378557.00
1978,New Jersey,"CRAB, BLUE, SOFT AND PEELER",8.60,18900.00,11680.00
1978,New York,"CRAB, BLUE",0.60,1400.00,700.00
1978,North Carolina,"CRAB, BLUE",10686.10,23558546.00,4326084.00
1978,North Carolina,"CRAB, BLUE, SOFT AND PEELER",21.20,46826.00,89718.00
1978,South Carolina,"CRAB, BLUE",4262.40,9396938.00,1840062.00
1978,Texas,"CRAB, BLUE",3388.20,7469558.00,2003807.00
1978,Virginia,"CRAB, BLUE",16351.80,36049200.00,6756061.00
1978,Virginia,"CRAB, BLUE, SOFT AND PEELER",277.00,610700.00,693379.00
1979,Alabama,"CRAB, BLUE",608.10,1340690.00,390823.00
1979,Delaware,"CRAB, BLUE",217.90,480400.00,167974.00
1979,Delaware,"CRAB, BLUE, SOFT AND PEELER",6.60,14600.00,31500.00
1979,Florida East Coast,"CRAB, BLUE",1584.50,3493231.00,740503.00
1979,Florida West Coast,"CRAB, BLUE",5079.50,11198262.00,2234532.00
1979,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",4.20,9328.00,5031.00
1979,Georgia,"CRAB, BLUE",5142.70,11337528.00,1983890.00
1979,Louisiana,"CRAB, BLUE",9676.80,21333554.00,4776484.00
1979,Louisiana,"CRAB, BLUE, SOFT AND PEELER",66.70,146951.00,337542.00
1979,Maryland,"CRAB, BLUE",11264.90,24834700.00,5722450.00
1979,Maryland,"CRAB, BLUE, SOFT AND PEELER",429.70,947300.00,1072705.00
1979,Mississippi,"CRAB, BLUE",595.40,1312650.00,316443.00
1979,New Jersey,"CRAB, BLUE",389.00,857500.00,338894.00
1979,New Jersey,"CRAB, BLUE, PEELER",12.20,26900.00,14022.00
1979,New York,"CRAB, BLUE",25.70,56600.00,21210.00
1979,North Carolina,"CRAB, BLUE",12076.40,26623723.00,4622539.00
1979,North Carolina,"CRAB, BLUE, SOFT AND PEELER",36.50,80367.00,129908.00
1979,South Carolina,"CRAB, BLUE",3506.20,7729699.00,1902635.00
1979,South Carolina,"CRAB, BLUE, SOFT AND PEELER",1.70,3800.00,2425.00
1979,Texas,"CRAB, BLUE",3770.10,8311504.00,2146062.00
1979,Virginia,"CRAB, BLUE",18068.70,39834300.00,6645097.00
1979,Virginia,"CRAB, BLUE, PEELER",371.50,818900.00,758765.00
1979,Virginia,"CRAB, BLUE, SOFT",25.10,55400.00,58146.00
1979,Virginia,"CRAB, BLUE, SOFT AND PEELER",80.60,177800.00,173340.00
1980,Alabama,"CRAB, BLUE",706.10,1556674.00,464583.00
1980,Connecticut,"CRAB, BLUE",0.10,300.00,89.00
1980,Delaware,"CRAB, BLUE",968.10,2134300.00,723601.00
1980,Delaware,"CRAB, BLUE, SOFT AND PEELER",11.50,25400.00,48064.00
1980,Florida East Coast,"CRAB, BLUE",2087.50,4602149.00,1145812.00
1980,Florida West Coast,"CRAB, BLUE",5114.60,11275741.00,2386712.00
1980,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",7.70,16866.00,12228.00
1980,Georgia,"CRAB, BLUE",4563.20,10060060.00,1964419.00
1980,Louisiana,"CRAB, BLUE",8247.60,18182720.00,4327263.00
1980,Louisiana,"CRAB, BLUE, SOFT AND PEELER",53.60,118122.00,273486.00
1980,Maryland,"CRAB, BLUE",11477.80,25304000.00,6030052.00
1980,Maryland,"CRAB, BLUE, SOFT AND PEELER",520.50,1147600.00,1357799.00
1980,Mississippi,"CRAB, BLUE",1251.70,2759600.00,692905.00
1980,New Jersey,"CRAB, BLUE",855.20,1885300.00,778134.00
1980,New Jersey,"CRAB, BLUE, PEELER",7.10,15700.00,9213.00
1980,New York,"CRAB, BLUE",90.00,198400.00,90804.00
1980,North Carolina,"CRAB, BLUE",15568.80,34322937.00,5975221.00
1980,North Carolina,"CRAB, BLUE, SOFT AND PEELER",39.70,87482.00,132448.00
1980,South Carolina,"CRAB, BLUE",2819.60,6216200.00,1647317.00
1980,Texas,"CRAB, BLUE",4061.00,8952894.00,2455739.00
